,index,primary_diagnosis_desc
640,Flu due to oth ident flu virus w unsp type of pneu,462
641,BACKACHE NOS,460
642,Acute cholecystitis,459
643,Unspecified cirrhosis of liver,459
644,DIAB CIRCULAT DIS TYP II,458
645,Crohn's disease of small intestine w intestinal ob,457
646,INFECTIOUS ENTERITIS NOS,456
647,OVARIAN CYST NEC/NOS,456
648,ABSCESS OF APPENDIX,455
649,DEMEN NOS W/O BEHV DSTRB,452
650,Acute obstructive laryngitis [croup],451
651,Multiple myeloma not having achieved remission,451
652,INTERMED CORONARY SYND,450
653,MALIG NEO FRONTAL LOBE,449
654,Acute appendicitis with generalized peritonitis,449
655,ANEMIA IN CKD,449
656,"Pretrm prem ROM,unsp time betw rupt and onst labr",448
657,Cereb infrc due to embolism of right middle cerebr,446
658,POIS ANTIDEPRESSANTS NEC,446
659,Gastro-esophageal reflux disease with esophagitis,446
660,Malignant neoplasm of head of pancreas,446
661,Acute embolism and thrombosis of right femoral vei,443
662,OLIGOHYDRAMNIOS-DELIVER,443
663,POIS-AROM ANALGESICS NEC,442
664,"Vascular disorder of intestine,unspecified",441
665,AC VASC INSUFF INTESTINE,441
666,BENIGN NEO PITUITARY,441
667,ELDERLY PRIMIGRAVIDA-DEL,440
668,Cereb infrc d/t unsp occls or stenos of right mid ,440
669,Acute and subacute infective endocarditis,439
670,CERV DISC DIS W MYELOPAT,439
671,Maternal care for unsp type scar from previous ces,439
672,Other chronic pain,438
673,"Fluid overload,unspecified",437
674,ALCOH DEP NEC/NOS-CONTIN,437
675,"Gestational htn w/o significant proteinuria,third",436
676,SEC UTERINE INERT-DELIV,436
677,PERITONEAL ABSCESS,434
678,ADJ DISOR-EMOTION/CONDUC,433
679,"Unsp intracapsular fracture of right femur,init f",430
680,Severe pre-eclampsia complicating childbirth,429
681,"Thoracoabdominal aortic aneurysm,without rupture",429
682,LOWER EXTREMITY EMBOLISM,429
683,"Lobar pneumonia,unspecified organism",428
684,LYMPHOMA NEC-EXTRNOD/NOS,428
685,ABNORMALITY OF GAIT,428
686,Severe persistent asthma with (acute) exacerbation,426
687,Benign neoplasm of cerebral meninges,421
688,Metabolic encephalopathy,420
689,Biliary acute pancreatitis without necrosis or inf,420
690,Unsp psychosis not due to a substance or known phy,419
691,RADIOTHERAPY ENCOUNTER,419
692,Malignant neoplasm of sigmoid colon,419
693,BOWEL ANGIODYSPLAS&HEMOR,418
694,"Twin liveborn infant,delivered vaginally",417
695,"Polyhydramnios,third trimester,not applicable or",417
696,FETAL/NEONATAL JAUND NOS,415
697,BIPOLAR I-REC MANIC NOS,414
698,DISRUPT EXT OP SGY WOUND,411
699,FX TRIMALLEOLAR-CLOSED,411
700,Nonrheumatic aortic (valve) insufficiency,411
701,Unspecified mood [affective] disorder,410
702,Other acute postprocedural pain,410
703,MAJOR DEPRESS DIS-MOD,408
704,CEREBR DEGEN W/ DEMENTIA,408
705,JOINT PAIN-PELVIS,407
706,"Gestational diabetes mellitus in childbirth,diet ",406
707,"CELLULITIS,FINGER NOS",406
708,"Oth generalized epilepsy,intractable,w/o stat ep",406
709,"Bipolar disord,crnt episode manic severe w psych ",405
710,Gastro-esophageal reflux disease without esophagit,404
711,ANEMIA-DELIVERED,404
712,ABN COAGULATION PROFILE,404
713,"Endocrine,nutritional and metabolic diseases comp",403
714,METABOLIC ENCEPHALOPATHY,402
715,"Schizophrenia,unspecified",402
716,INFC D/T ORTH DEVICE NEC,401
717,Toxic encephalopathy,400
718,Acute cystitis with hematuria,399
719,CROUP,398
720,Type 2 diabetes w diabetic autonomic (poly)neuropa,395
721,Malignant neoplasm of unsp part of unsp bronchus o,394
722,"Infectious gastroenteritis and colitis,unspecifie",394
723,OT COMP OT BARIATRC PROC,394
724,AC MYEL LEUK NO REMISS,394
725,Type 1 diabetes mellitus with hyperglycemia,394
726,Unspecified chronic gastritis without bleeding,394
727,THORABD AORTA DISSECTION,393
728,"Oth complication of vascular prosth dev/grft,init",393
729,"Traum subdr hem w LOC of unsp duration,init",392
730,Mild intermittent asthma with (acute) exacerbation,392
731,MALIGNANT NEOPLASM CECUM,391
732,"Migraine,unsp,not intractable,without status mi",389
733,Left lower quadrant pain,389
734,GASTROSTOMY MALFUNC,388
735,POISONING-HEROIN,386
736,"Bipolar disord,crnt epsd mixed,severe,w/o psych",385
737,PARANOID SCHIZO-CHRONIC,385
738,ADJ DISOR W/ DEPR MOOD,385
739,Infect/inflm reaction due to internal r knee prost,384
740,LUMBOSACRAL NEURITIS NOS,384
741,"Decreased fetal movements,third trimester,unsp",383
742,SYST LUPUS ERYTHEMATOSUS,383
743,DRUG INDUCED NEUTROPENIA,383
744,Obstruction of bile duct,382
745,"Gestational diabetes in childbirth,insulin contro",382
746,"Disruption of external operation (surgical) wound,",381
747,BIPOLAR I-REC MIXED SEV,381
748,STOMACH ULCER NOS,380
749,EDEMA,379
750,Other seizures,379
751,MAL NEO STOMACH CARDIA,379
752,Calculus of bile duct w/o cholangitis or cholecyst,379
753,ADULT FAILURE TO THRIVE,379
754,"Poisoning by heroin,accidental (unintentional),i",378
755,ANXIETY STATE NOS,378
756,"Preterm labor without delivery,third trimester",378
757,ESOPHAGITIS NEC,376
758,SPONDYLOLISTHESIS,375
759,Rectal prolapse,374
760,Calculus of ureter,374
761,FX UPPER END TIBIA-CLOSE,373
762,NONTOX MULTINODUL GOITER,373
763,ABN INVOLUN MOVEMENT NEC,372
764,Infect/inflm reaction due to internal left knee pr,372
765,OTHER GU NEOPLASM NOS,372
766,Malignant neoplasm of endometrium,371
767,OBSTRUCTION OF BILE DUCT,371
768,OTHER PANCYTOPENIA,371
769,ATROPHIC GASTRITIS,371
770,OTH SPEC FORMS OF EFFUS,370
771,URETERIC OBSTRUCTION NEC,370
772,Achalasia of cardia,370
773,"Alcohol dependence with intoxication,unspecified",369
774,INTRAMURAL LEIOMYOMA,368
775,Postproc hemor/hemtom of dgstv sys org fol a dgstv,367
776,OTH LATE EFFECT CV DIS,367
777,POISONING BY COCAINE,366
778,Bacteremia,365
779,"DIGEST-GENIT FISTUL,FEM",364
780,"Emphysema,unspecified",364
781,FX BIMALLEOLAR-CLOSED,364
782,Opioid dependence with withdrawal,363
783,Acute and subacute hepatic failure without coma,362
784,ANGINA PECTORIS NEC/NOS,362
785,"Malignant neoplasm of lower lobe,right bronchus o",361
786,Periapical abscess without sinus,358
787,"Dvtrcli of intest,part unsp,w/o perf or abscess ",357
788,CHRONIC CHOLECYSTITIS,357
789,IDIOPATH PULMON FIBROSIS,356
790,PRESSURE ULCER LOW BACK,356
791,Unsp pre-existing hypertension complicating childb,355
792,COMP INTEST POUCH NEC,354
793,"Stenosis of vascular prosth dev/grft,init",354
794,Sepsis due to Enterococcus,353
795,BIPOL I-REC DEPR W PSYCH,353
796,"Bronchitis,not specified as acute or chronic",353
797,COMPL HEART TRANSPLANT,352
798,"Chronic obstructive pulmonary disease,unspecified",351
799,TWIN PREGNANCY-DELIVERED,351
800,SURG COMPL-DIGEST TRACT,349
801,MAL NEO RECTOSIGMOID JCT,348
802,GRAND MAL-INTRACTABLE EP,348
803,(Idiopathic) normal pressure hydrocephalus,347
804,CHOLEDOCHOLITHIASIS NOS,345
805,Liver cell carcinoma,345
806,Cerebral infarction due to embolism of unsp cerebr,344
807,"Oligohydramnios,third trimester,not applicable o",344
808,OTH EPIL& SZ NOT INTRCT,344
809,POLYHYDRAMNIOS-DELIVERED,344
810,Nonrheumatic mitral (valve) prolapse,343
811,Esophageal obstruction,342
812,Unspecified severe protein-calorie malnutrition,341
813,BENIGN NEOPLASM OVARY,341
814,Other pancytopenia,340
815,Paresthesia of skin,340
816,OTHER ASCITES,339
817,ANEMIA OTH CHRONIC DIS,339
818,Nonrheumatic aortic (valve) stenosis with insuffic,339
819,"Multiple fractures of ribs,left side,init for cl",338
820,"Bipolar disord,crnt episode mixed,severe,w psyc",338
821,OSTEOARTHROSIS-MULT SITE,338
822,Type 2 diabetes w diabetic peripheral angiopath w/,337
823,"Intestnl adhesions,unsp as to partial versus comp",337
824,Adult failure to thrive,337
825,CA IN SITU BREAST,337
826,PREG COMPL NEC-ANTEPART,335
827,CONG AORTA VALV INSUFFIC,334
828,"Fracture of unsp part of neck of right femur,init",334
829,Fistula of intestine,334
830,Acute respiratory failure with hypercapnia,334
831,Vascular dementia with behavioral disturbance,333
832,OSTEOMYELITIS NOS-ANKLE,333
833,Cutaneous abscess of buttock,332
834,STEMI involving oth coronary artery of anterior wa,331
835,AC ALCOHOL INTOX-CONTIN,330
836,MITRAL/AORTIC VAL INSUFF,330
837,Intermittent explosive disorder,329
838,COLOST/ENTEROST MALFUNC,329
839,Immune thrombocytopenic purpura,328
840,MALFUNCTION AICD,328
841,"Gram-negative sepsis,unspecified",328
842,SARCOIDOSIS,327
843,TRANSIENT AWARE ALTERAT,327
844,Crohn's disease of both small and large intestine ,326
845,INFLAM DISEASE OF BREAST,325
846,"Fracture of unsp part of neck of left femur,init",325
847,"Acute myeloblastic leukemia,not having achieved r",325
848,CONCUSSION W LOC NOS,323
849,NON-HEALING SURG WOUND,323
850,Generalized anxiety disorder,323
851,Other complications of intestinal pouch,322
852,"Gastric ulcer,unsp as acute or chronic,w/o hemor",322
853,HYPERPARATHYROID PRMARY,321
854,ESOPHAGEAL STRICTURE,318
855,"Alcohol dependence with withdrawal,uncomplicated",318
856,PERI-PROST FR AR PRS JNT,318
857,Idiopathic pulmonary fibrosis,317
858,PRECIPITATE LABOR-DELIV,317
859,Obesity complicating childbirth,317
860,HYPERCALCEMIA,316
861,MIGRAINE AURA NO INTRACT,315
862,GRAM-NEG SEPTICEMIA NOS,315
863,Flu due to unidentified influenza virus w oth resp,314
864,RENAL & URETERAL DIS NOS,314
865,SECONDARY MALIG NEO NEC,312
866,DM NEUR MANF TYP I UNCNT,312
867,Other complication of kidney transplant,312
868,MAJR DEPRESS-SEV W PSYCH,311
869,DIVERTICULOSIS OF COLON,311
870,TOBACCO USE COMPLC DELIV,311
871,GENERALIZED ANXIETY DIS,310
872,"Osteoarthritis of knee,unspecified",310
873,BIPOL I-REC MIXD W PSYCH,309
874,MALIG NEO PANCREAS NOS,309
875,Brief psychotic disorder,309
876,"Nontraumatic intcrbl hemorrhage in hemisphere,cor",307
877,Benign neoplasm of pituitary gland,307
878,"Maternal care for excess fetal growth,third trime",307
879,Undifferentiated schizophrenia,306
880,"Gout,unspecified",306
881,CHR AIRWAY OBSTRUCT NEC,305
882,CERVICALGIA,305
883,Fecal impaction,305
884,Unspecified dementia without behavioral disturbanc,305
885,"Other and unsp ventral hernia with obstruction,w/",304
886,HIGH HEAD AT TERM-DELIV,304
887,TIETZE'S DISEASE,304
888,"Tachycardia,unspecified",304
889,DIASYSTOL HEART FAIL NOS,304
890,FECAL IMPACTION,304
891,UMBILICAL HERNIA W OBSTR,304
892,MAL NEO TEMPORAL LOBE,303
893,OPEN WOUND OF SCALP,303
894,FX SURG NCK HUMERUS-CLOS,303
895,DIAPHRAGM HERNIA W OBSTR,303
896,Other cerebral infarction,302
897,AMI NOS-INITIAL EPISODE,302
898,Type 2 diabetes mellitus w diabetic chronic kidney,302
899,"Acute respiratory failure,unsp w hypoxia or hyper",301
900,Hemiplga following cerebral infrc affecting left n,301
901,Occlusion and stenosis of bilateral carotid arteri,301
902,UNILAT ING HERNIA W OBST,301
903,MALLORY-WEISS SYNDROME,301
904,AC ALCOHOLIC HEPATITIS,300
905,AC SYST/DIASTOL HRT FAIL,299
906,HYPERNATREMIA,296
907,Agranulocytosis secondary to cancer chemotherapy,296
908,Acute systolic (congestive) heart failure,294
909,CYSTITIS NOS,292
910,"Malignant neoplasm of pancreas,unspecified",292
911,FOREIGN BODY ESOPHAGUS,292
912,PSEUDOMONAS SEPTICEMIA,291
913,ESSEN HYPERTEN-DELIVERED,291
914,"Dysphagia,unspecified",290
915,Calculus of kidney with calculus of ureter,290
916,KIDNEY DONOR,290
917,SURG COMP-PERI VASC SYST,289
918,POISONING-OPIATES NEC,288
919,FX FEMUR SHAFT-CLOSED,288
920,PANCREAT CYST/PSEUDOCYST,288
921,Oth dis of the bld/bld-form org/immun mechnsm comp,288
922,HIGH VAGINAL LACER-DELIV,287
923,"Oth pregnancy related conditions,second trimester",287
924,BENIGN INTRACRANIAL HTN,286
925,Kidney transplant failure,286
926,POISON-ANTIPSYCHOTIC NEC,286
927,Transient alteration of awareness,286
928,GU INFECTION-ANTEPARTUM,286
929,Precipitate labor,286
930,HYP HRT/KD UNSP HF/CKD 5,286
931,AFTCR EXPLANTATN JT PROS,285
932,THREAT LABOR NEC-ANTEPAR,284
933,OBSTRUCTIVE SLEEP APNEA,284
934,"Multiple fractures of ribs,right side,init for c",283
935,"Laceration without foreign body of scalp,initial ",283
936,OTHER CONSTIPATION,283
937,"Collapsed vertebra,NEC,lumbar region,init",283
938,OSTEOMYELIT NOS-OTH SITE,283
939,Other cirrhosis of liver,283
940,SPRAIN ROTATOR CUFF,282
941,"Major depressive disorder,single episode,moderat",282
942,LUQ ABDOMINAL PAIN,281
943,Malignant neoplasm of rectosigmoid junction,281
944,HYDRONEPHROSIS,281
945,Adjustment disorder w mixed disturb of emotions an,281
946,Other complications of lung transplant,280
947,"Crohn's disease,unspecified,without complication",280
948,OTHER ENCEPHALOPATHY,279
949,FX ANKLE NOS-CLOSED,279
950,"Migraine with aura,not intractable,w/o status mi",279
951,CHR HEPATITIS C W/ COMA,279
952,Infect/inflm reaction due to internal right hip pr,278
953,"Hydronephrosis w ureteral stricture,NEC",278
954,Pleurodynia,278
955,ACUTE TONSILLITIS,277
956,BRACHIAL PLEXUS LESIONS,277
957,CHR SYSTOL HEART FAILUR,277
958,SEROMA COMPLIC PROCEDURE,276
959,COMPRESSION OF BRAIN,276
960,ROTATOR CUFF SYND NOS,275
961,"Neonatal jaundice,unspecified",275
962,Human immunodeficiency virus [HIV] disease,275
963,POSTLAMINECT SYND-LUMBAR,275
964,MULT GEST MALPRES-DELIV,274
965,Other pneumothorax,274
966,THYROID DYSFUNC-DELIVER,274
967,Other secondary pulmonary hypertension,274
968,PREM SEPAR PLACEN-DELIV,274
969,Bilateral primary osteoarthritis of hip,274
970,ANEMIA IN NEOPLASTIC DIS,274
971,CHR DIASTOL HEART FAIL,273
972,Crohn's disease of both small and lg int w intesti,272
973,"Major depressive disorder,recurrent,unspecified",272
974,"Epilepsy,unsp,intractable,without status epilep",272
975,VOMITING ALONE,271
976,IATROGENIC PNEUMOTHORAX,271
977,Malignant neoplasm of cecum,270
978,TRANSIENT GLOBAL AMNESIA,270
979,Alcohol induced acute pancreatitis,269
980,ATTN DEFICIT W HYPERACT,269
981,PERIPH VASCULAR DIS NOS,269
982,VIRAL MENINGITIS NOS,268
983,AC ALCOHOL INTOX-UNSPEC,268
984,ACCIDENTAL OP LACERATION,268
985,Typical atrial flutter,268
986,FOC EPIL CMPLX NO INTRCT,267
987,SEPTICEMIA NEC,266
988,PROLONG RUPT MEMB-DELIV,266
989,INFEC DUE TO NERV DEVICE,265
990,NONUNION OF FRACTURE,264
991,POUCHITIS,264
992,Other hemorrhoids,264
993,SURG COMPL-HEART,264
994,"HEMATURIA,UNSPECIFIED",264
995,PERIAPICAL ABSCESS,264
996,Atypical atrial flutter,264
997,Rheumatic disorders of both mitral and aortic valv,263
998,"Dyspnea,unspecified",263
999,INFECTED POSTOP SEROMA,263
1000,INFEROPOS AMI-INIT EPISD,263
1001,Cervicalgia,262
1002,Peritoneal abscess,262
1003,BIPOL I-REC DEPRESS MOD,262
1004,CHR ISCHEMIC HRT DIS NEC,261
1005,DM CIRC DIS TYP II UNCNT,261
1006,"Dvrtclos of intest,part unsp,w/o perf or abscess",261
1007,Infect/inflm reaction due to internal left hip pro,260
1008,Malignant neoplasm of cardia,260
1009,"Peripheral vascular disease,unspecified",260
1010,Acute embolism and thrombosis of left popliteal ve,260
1011,TUBAL PREGNANCY W/O IUP,260
1012,DELUSIONAL DISORDER,260
1013,OBSTRUCTIV HYDROCEPHALUS,260
1014,Pre-existing htn with pre-eclampsia comp childbirt,260
1015,DIAB RENAL MANIF TYPE II,259
1016,TRIGEMINAL NEURALGIA,259
1017,RHEUMATOID ARTHRITIS,259
1018,MALIGNANT NEO COLON NOS,258
1019,Other complications of other bariatric procedure,258
1020,MALIG NEO BLADDER NEC,257
1021,MITR/AORTIC MULT INVOLV,256
1022,Sepsis due to Pseudomonas,256
1023,CERVICAL SPINAL STENOSIS,256
1024,"Unil inguinal hernia,w obst,w/o gangr,not spcf ",255
1025,UNILAT INGUINAL HERNIA,255
1026,Cholangitis,254
1027,"Malignant neoplasm of lower lobe,left bronchus or",254
1028,BELL'S PALSY,253
1029,"Epilepsy,unsp,not intractable,with status epile",253
1030,MALIGN NEOPL CHOROID,253
1031,Malignant neoplasm of frontal lobe,252
1032,Other chronic pancreatitis,252
1033,OTHER ACUTE PAIN,252
1034,Disorganized schizophrenia,251
1035,Other malaise,251
1036,STRICTURE OF URETER,251
1037,Ulcerative (chronic) pancolitis without complicati,251
1038,MALPOSITION NEC-DELIVER,251
1039,OTH SEVERE MALNUTRITION,251
1040,MILD HYPEREMESIS-ANTEPAR,251
1041,Cellulitis of abdominal wall,251
1042,Secondary uterine inertia,251
1043,Angiodysplasia of colon with hemorrhage,251
1044,Hemiplga following cerebral infrc aff right domina,250
1045,Fistula of vagina to large intestine,250
1046,Kidney donor,250
1047,"Umbilical hernia with obstruction,without gangren",250
1048,OTH VIRAL DIS-DELIVERED,250
1049,OTHER IATROGENIC HYPOTEN,250
1050,CHR VASC INSUFF INTEST,250
1051,Enterostomy malfunction,250
1052,ANAL FISTULA,249
1053,MAL NEO TRANSVERSE COLON,248
1054,DRUG DERMATITIS NOS,248
1055,ACUTE PERICARDITIS NOS,247
1056,Rheumatic disorders of both mitral and tricuspid v,247
1057,VOLVULUS OF INTESTINE,246
1058,PSEUDOMONAL PNEUMONIA,246
1059,CEREBR THROMB W INFARCT,245
1060,"CELLULITIS,TOE NOS",245
1061,Dissection of thoracoabdominal aorta,245
1062,URETHRAL STRICTURE NOS,245
1063,OTH SPEC POSTOP COMP NEC,244
1064,"Lower abdominal pain,unspecified",244
1065,"Atrioventricular block,second degree",244
1066,VIRAL HEP C WITH COMA,243
1067,Hypoxemia,243
1068,PRIM CARDIOMYOPATHY NEC,242
1069,IRRITABLE BOWEL SYNDROME,242
1070,"Anxiety disorder,unspecified",242
1071,"Interstitial pulmonary disease,unspecified",241
1072,AMPUTAT COMPLIC NEC,241
1073,Other ascites,241
1074,DIS OF BILIARY TRACT NEC,241
1075,Hypercalcemia,241
1076,Localized edema,241
1077,OTHER LUNG DISEASE NEC,241
1078,Crohn's disease of large intestine without complic,240
1079,Acute embolism and thrombosis of right popliteal v,240
1080,DECRSD FETAL MOVEMNT-DEL,240
1081,CONCUSSION W/O LOC,239
1082,Acidosis,239
1083,Crohn's disease of small intestine without complic,239
1084,ENC ANTINPLSTC IMMUNORX,239
1085,SPONTANEOUS BACTRL PERTN,239
1086,PREMATURE BEATS NEC,238
1087,"Nontraumatic intracerebral hemorrhage,intraventri",238
1088,WEGENER'S GRANULOMATOSIS,238
1089,"Food in esophagus causing other injury,initial en",238
1090,CMP NEC D/T ORTH DEV NEC,237
1091,OLECRANON BURSITIS,237
1092,AV BLOCK-2ND DEGREE NEC,237
1093,HYPOXEMIA,237
1094,"Dislocation of internal right hip prosthesis,init",236
1095,PYOGEN ARTHRITIS-L/LEG,236
1096,ESOPHAGEAL CANDIDIASIS,235
1097,OBESITY COMPL PREG DELIV,235
1098,Dvrtclos of lg int w/o perforation or abscess w/o ,235
1099,CHRONIC OBSTR ASTHMA NOS,235
1100,PERSIS MENT DISORDER NEC,235
1101,Alcoholic hepatic failure without coma,235
1102,EXT ASTHMA W/ EXAC,235
1103,Muscle weakness (generalized),235
1104,End stage renal disease,234
1105,SECUNDUM ATRIAL SEPT DEF,234
1106,Oth diseases and conditions compl preg/chldbrth,234
1107,Intramural leiomyoma of uterus,233
1108,"Pretrm prem ROM,onset labor w/n 24 hours of rupt,",233
1109,ANTEROLAT AMI-INIT EPISD,233
1110,JOINT PAIN-SHLDER,233
1111,RETENTION OF URINE NOS,233
1112,POISON-INSULIN/ANTIDIAB,233
1113,EMPYEMA W/O FISTULA,232
1114,DIAB W MANIF NEC TYPE I,232
1115,"Cyclical vomiting,not intractable",232
1116,Antineoplastic chemotherapy induced pancytopenia,231
1117,REFLUX ESOPHAGITIS,231
1118,"Local-rel symptc epi w cmplx prt seiz,not ntrct,w/",231
1119,Pseudarthrosis after fusion or arthrodesis,231
1120,ATHEROSCLER-EXTREMTY NOS,231
1121,DRUG-IND MOOD DISORDER,230
1122,DUODENAL ULCER NOS,230
1123,Left upper quadrant pain,230
1124,MALE GEN INFLAM DIS NEC,230
1125,CELLULITIS OF NECK,230
1126,"Traum subrac hem w/o loss of consciousness,init",230
1127,Myocardial infarction type 2,230
1128,SIALOADENITIS,230
1129,MALIGN NEOPL BREAST NEC,230
1130,Saddle embolus of pulmonary artery w/o acute cor p,229
1131,Malignant neoplasm of unspecified ovary,229
1132,"Athscl native arteries of extremities w gangrene,",229
1133,Type 1 diabetes mellitus with hypoglycemia without,228
1134,ADJ DIS-MIXED ANXIETY/DE,228
1135,"Schizoaffective disorder,depressive type",228
1136,"Radiculopathy,lumbar region",228
1137,ATTEN TO GASTROSTOMY,227
1138,MISSED ABORTION,227
1139,VENTRICULAR FIBRILLATION,227
1140,TRAUMATIC SUBDURAL HEM,226
1141,Pain in right hip,226
1142,"Oth complication of cardiac prosth dev/grft,init",226
1143,M.PNEUMONIAE PNEUMONIA,226
1144,Volvulus,226
1145,Lung transplant infection,226
1146,POSTTRAUM STRESS DIS NOS,225
1147,Bell's palsy,225
1148,Other specified trauma to perineum and vulva,224
1149,HEMOPTYSIS NOS,224
1150,Unspecified pre-eclampsia complicating childbirth,223
1151,Hemoptysis,223
1152,Intussusception,223
1153,POISONING-OPIUM NOS,223
1154,MAL HYP KDNY DIS CKD 1-4,222
1155,"Bipolar disord,crnt epsd depress,severe,w psych",222
1156,Cutaneous abscess of abdominal wall,222
1157,Intrahepatic bile duct carcinoma,222
1158,PRIM UTERINE INERT-DELIV,222
1159,END STAGE RENAL DISEASE,222
1160,"Traum subrac hem w LOC of unsp duration,init",221
1161,DISRUP INT OP SRG WOUND,221
1162,CHOLEDOCHLITH NOS W OBST,221
1163,"Major depressv disord,single epsd,severe w psych",221
1164,"Oth complications of procedures,NEC,init",220
1165,Diseases of the respiratory system complicating ch,219
1166,Parastomal hernia without obstruction or  gangrene,219
1167,"Other spondylosis with radiculopathy,cervical reg",219
1168,POIS-ANTICONVUL NEC/NOS,219
1169,INFEROLAT AMI-INIT EPISD,218
1170,DIAB NEURO MANIF TYPE I,218
1171,STAPH SEPTICEMIA NEC,218
